DAY,DATE,HOLIDAY,,,,,,
Monday,1/1/2018,New Year's Day,,,,,,
Sunday,1/14/2018,Makar Sankranti / Pongal,,,,,,
Friday,1/26/2018,Republic Day,,,,,,
Wednesday,2/14/2018,Maha Shivaratri,,,,,,
Friday,3/2/2018,Holi,,,,,,
Sunday,3/18/2018,Ugadi / Gudi Padwa,,,,,,
Sunday,3/25/2018,Ram Navami,,,,,,
Thursday,3/29/2018,Mahavir Jayanti,,,,,,
Friday,3/30/2018,Good Friday,,,,,,
Monday,4/30/2018,Budhha Purnima,,,,,,
Tuesday,5/1/2018,Labor Day,,,,,,
Saturday,6/16/2018,Eid-ul-Fitar,,,,,,
Saturday,7/14/2018,Rath Yatra,,,,,,
Wednesday,8/15/2018,Independence Day,,,,,,
Wednesday,8/22/2018,Bakri Id / Eid ul-Adha,,,,,,
Saturday,8/25/2018,Onam,,,,,,
Sunday,8/26/2018,Raksha Bandhan,,,,,,
Monday,9/3/2018,Janmashtami,,,,,,
Thursday,9/13/2018,Vinayaka Chaturthi,,,,,,
Friday,9/21/2018,Muharram,,,,,,
Tuesday,10/2/2018,Mathatma Gandhi Jayanti,,,,,,
Friday,10/19/2018,Dussehra / Dasara,,,,,,
Wednesday,11/7/2018,Diwali / Deepavali,,,,,,
Wednesday,11/21/2018,Milad un Nabi,,,,,,
Friday,11/23/2018,Guru Nanak's Birthday,,,,,,
Tuesday,12/25/2018,Christmas,,,,,,
Tuesday,1/1/2019,New Year's Day,,,,,,
Monday,1/14/2019,Makar Sankranti / Pongal,,,,,,
Saturday,1/26/2019,Republic Day,,,,,,
Monday,3/4/2019,Maha Shivaratri,,,,,,
Thursday,3/21/2019,Holi,,,,,,
Saturday,4/6/2019,Ugadi / Gudi Padwa,,,,,,
Saturday,4/13/2019,Ram Navami,,,,,,
Wednesday,4/17/2019,Mahavir Jayanti,,,,,,
Friday,4/19/2019,Good Friday,,,,,,
Wednesday,5/1/2019,Labor Day,,,,,,
Saturday,5/18/2019,Budhha Purnima,,,,,,
Wednesday,6/5/2019,Eid-ul-Fitar,,,,,,
Thursday,7/4/2019,Rath Yatra,,,,,,
Monday,8/12/2019,Bakri Id / Eid ul-Adha,,,,,,
Thursday,8/15/2019,Raksha Bandhan,,,,,,
Thursday,8/15/2019,Independence Day,,,,,,
Saturday,8/24/2019,Janmashtami,,,,,,
Monday,9/2/2019,Vinayaka Chaturthi,,,,,,
Tuesday,9/10/2019,Muharram,,,,,,
Wednesday,9/11/2019,Onam,,,,,,
Wednesday,10/2/2019,Mathatma Gandhi Jayanti,,,,,,
Tuesday,10/8/2019,Dussehra / Dasara,,,,,,
Sunday,10/27/2019,Diwali / Deepavali,,,,,,
Sunday,11/10/2019,Milad un Nabi,,,,,,
Tuesday,11/12/2019,Guru Nanak's Birthday,,,,,,
Wednesday,12/25/2019,Christmas,,,,,,
Saturday,1/1/2022,New Year's Day,,,,,,
Sunday,1/9/2022,Guru Govind Singh Jayanti,,,,,,
Thursday,1/13/2022,Lohri,,,,,,
Friday,1/14/2022,Pongal,,,,,,
Friday,1/14/2022,Makar Sankranti,,,,,,
Wednesday,1/26/2022,Republic Day,,,,,,
Tuesday,2/1/2022,Chinese New Year,,,,,,
Saturday,2/5/2022,Vasant Panchami,,,,,,
Monday,2/14/2022,Valentine's Day,,,,,,
Tuesday,2/15/2022,Hazarat Ali's Birthday,,,,,,
Wednesday,2/16/2022,Guru Ravidas Jayanti,,,,,,
Saturday,2/19/2022,Shivaji Jayanti,,,,,,
Saturday,2/26/2022,Maharishi Dayanand Saraswati Jayanti,,,,,,
Tuesday,3/1/2022,Maha Shivaratri/Shivaratri,,,,,,
Thursday,3/17/2022,Holika Dahana,,,,,,
Friday,3/18/2022,Holi,,,,,,
Friday,3/18/2022,Dolyatra,,,,,,
Sunday,3/20/2022,March Equinox,,,,,,
Saturday,4/2/2022,Chaitra Sukhladi,,,,,,
Saturday,4/2/2022,Ugadi,,,,,,
Saturday,4/2/2022,Gudi Padwa,,,,,,
Sunday,4/10/2022,Rama Navami,,,,,,
Thursday,4/14/2022,Maundy Thursday,,,,,,
Thursday,4/14/2022,Mahavir Jayanti,,,,,,
Thursday,4/14/2022,Vaisakhi,,,,,,
Thursday,4/14/2022,Mesadi / Vaisakhadi,,,,,,
Thursday,4/14/2022,Ambedkar Jayanti,,,,,,
Friday,4/15/2022,Good Friday,,,,,,
Saturday,4/16/2022,First day of Passover,,,,,,
Sunday,4/17/2022,Easter Day,,,,,,
Friday,4/29/2022,Jamat Ul-Vida (Tentative Date),,,,,,
Sunday,5/1/2022,May Day,,,,,,
Tuesday,5/3/2022,Ramzan Id/Eid-ul-Fitar (Tentative Date),,,,,,
Tuesday,5/3/2022,Ramzan Id/Eid-ul-Fitar (Tentative Date),,,,,,
Sunday,5/8/2022,Mother's Day,,,,,,
Monday,5/9/2022,Birthday of Ravindranath,,,,,,
Monday,5/16/2022,Buddha Purnima/Vesak,,,,,,
Sunday,6/19/2022,Father's Day,,,,,,
Tuesday,6/21/2022,June Solstice,,,,,,
Friday,7/1/2022,Rath Yatra,,,,,,
Sunday,7/10/2022,Bakr Id/Eid ul-Adha (Tentative Date),,,,,,
Wednesday,7/13/2022,Guru Purnima,,,,,,
Sunday,8/7/2022,Friendship Day,,,,,,
Tuesday,8/9/2022,Muharram/Ashura (Tentative Date),,,,,,
Thursday,8/11/2022,Raksha Bandhan (Rakhi),,,,,,
Monday,8/15/2022,Independence Day,,,,,,
Tuesday,8/16/2022,Parsi New Year,,,,,,
Thursday,8/18/2022,Janmashtami (Smarta),,,,,,
Friday,8/19/2022,Janmashtami,,,,,,
Wednesday,8/31/2022,Ganesh Chaturthi/Vinayaka Chaturthi,,,,,,
Thursday,9/8/2022,Onam,,,,,,
Friday,9/23/2022,September Equinox,,,,,,
Monday,9/26/2022,First Day of Sharad Navratri,,,,,,
Saturday,10/1/2022,First Day of Durga Puja Festivities,,,,,,
Sunday,10/2/2022,Mahatma Gandhi Jayanti,,,,,,
Sunday,10/2/2022,Maha Saptami,,,,,,
Monday,10/3/2022,Maha Ashtami,,,,,,
Tuesday,10/4/2022,Maha Navami,,,,,,
Wednesday,10/5/2022,Dussehra,,,,,,
Sunday,10/9/2022,Maharishi Valmiki Jayanti,,,,,,
Sunday,10/9/2022,Milad un-Nabi/Id-e-Milad (Tentative Date),,,,,,
Thursday,10/13/2022,Karaka Chaturthi (Karva Chauth),,,,,,
Monday,10/24/2022,Naraka Chaturdasi,,,,,,
Monday,10/24/2022,Diwali/Deepavali,,,,,,
